,X,person,speech,syllables,wordsyl,wc
485,485,Donald Trump,Dynamically.,5,1,5
6245,6245,Bernie Sanders,Unbelievable.,5,1,5
9744,9744,Chris Christie,Congratulations.,5,1,5
5042,5042,Bernie Sanders,Predominantly African-American and Hispanic.,16,4,4
1577,1577,Donald Trump,Carolina.,4,1,4
2932,2932,Hillary Clinton,Absolutely.,4,1,4
3032,3032,Hillary Clinton,Absolutely.,4,1,4
3033,3033,Hillary Clinton,Absolutely.,4,1,4
4142,4142,Bernie Sanders,Absolutely.,4,1,4
4200,4200,Bernie Sanders,Absolutely.,4,1,4
4383,4383,Bernie Sanders,Absolutely.,4,1,4
4441,4441,Bernie Sanders,Absolutely.,4,1,4
4510,4510,Bernie Sanders,Absolutely.,4,1,4
4648,4648,Bernie Sanders,Absolutely.,4,1,4
4789,4789,Bernie Sanders,Absolutely.,4,1,4
4935,4935,Bernie Sanders,Absolutely.,4,1,4
5144,5144,Bernie Sanders,Absolutely.,4,1,4
5718,5718,Bernie Sanders,Absolutely.,4,1,4
6370,6370,Bernie Sanders,Integrity.,4,1,4
7697,7697,Marco Rubio,military.,4,1,4
9287,9287,Ben Carson,Neurosurgeon.,4,1,4
10863,10863,Rand Paul,Absolutely.,4,1,4
11120,11120,Rand Paul,Absolutely.,4,1,4
11515,11515,Jeb Bush,citizenship.,4,1,4
11704,11704,Jeb Bush,Absolutely.,4,1,4
13317,13317,John Kasich,Creativity.,4,1,4
5150,5150,Bernie Sanders,attorney general's investigation.,11,3,3.666666667
5126,5126,Bernie Sanders,"Disproportionately African American, and Latino.",17,5,3.4
5734,5734,Bernie Sanders,It is disproportionately African-American and minority.,20,6,3.333333333
7008,7008,Ted Cruz,national security interests.,10,3,3.333333333
14234,14234,Martin O'Malley,Thatâ€™s American capitalism.,10,3,3.333333333
3184,3184,Hillary Clinton,"And not only economic inequality: racial inequality, sexist inequality, homophobic inequality.",36,11,3.272727273
3740,3740,Hillary Clinton,Another absolutely wonderful question.,12,4,3
3226,3226,Hillary Clinton,Bush-Dick Cheney administration.,9,3,3
11558,11558,Jeb Bush,That's American citizenship.,9,3,3
4608,4608,Bernie Sanders,â€ù Reestablish Glass-Steagall.,6,2,3
4798,4798,Bernie Sanders,Media notwithstanding.,6,2,3
7584,7584,Marco Rubio,That's conservatism.,6,2,3
9118,9118,Ben Carson,Total propaganda.,6,2,3
11754,11754,Jeb Bush,Credibility counts.,6,2,3
747,747,Donald Trump,Terrible.,3,1,3
9348,9348,Ben Carson,Energy.,3,1,3
9453,9453,Ben Carson,Bencarson.,3,1,3
11303,11303,Jeb Bush,Leadership.,3,1,3
5275,5275,Bernie Sanders,Younger generation understands it instinctively.,14,5,2.8
7032,7032,Ted Cruz,Border security is national security.,14,5,2.8
7133,7133,Ted Cruz,Washington is fundamentally corrupt.,11,4,2.75
9971,9971,Chris Christie,are endangering America's future?,11,4,2.75
10576,10576,Chris Christie,Attorney after September eleventh.,11,4,2.75
13358,13358,John Kasich,"Reforming entitlements, cutting taxes.",11,4,2.75
14479,14479,Martin O'Malley,The National Rifle Association.,11,4,2.75
1863,1863,Hillary Clinton,Probably the Republicans.,8,3,2.666666667
1906,1906,Hillary Clinton,"Again, Americans murdered.",8,3,2.666666667
7886,7886,Marco Rubio,Bush's immigration policy.,8,3,2.666666667
8965,8965,Ben Carson,"Yuma County, Arizona.",8,3,2.666666667
10412,10412,Chris Christie,I've prosecuted terrorists.,8,3,2.666666667
11064,11064,Rand Paul,It's extraordinarily wrong.,8,3,2.666666667
12971,12971,John Kasich,involvement in Lebanon.,8,3,2.666666667
14269,14269,Martin O'Malley,Thatâ€™s crony capitalism.,8,3,2.666666667
